Streamer,Date,Duration,Viewers
alanzoka,2019-10-15T16:08:09Z,9h34m23s,84086
alanzoka,2019-10-11T18:13:49Z,7h38m4s,62395
alanzoka,2019-10-10T18:07:59Z,6h55m3s,71877
alanzoka,2019-10-10T17:01:04Z,1h23m51s,21407
alanzoka,2019-10-10T16:58:55Z,1h42m4s,40737
alanzoka,2019-10-10T16:56:10Z,2h41m12s,39757
alanzoka,2019-10-10T16:53:16Z,3h59m33s,13945
alanzoka,2019-10-09T18:32:42Z,7h26m25s,48966
alanzoka,2019-10-08T22:21:31Z,5h0m28s,38956
alanzoka,2019-10-05T18:58:57Z,6h52m33s,156609
alanzoka,2019-10-05T18:53:26Z,2m50s,13368
alanzoka,2019-10-05T18:15:27Z,37m40s,15513
alanzoka,2019-10-04T18:26:34Z,6h41m51s,141801
alanzoka,2019-10-03T18:24:54Z,7h0m27s,228995
alanzoka,2019-10-02T18:15:43Z,6h30m10s,70395
alanzoka,2019-10-02T04:07:56Z,46m38s,14175
alanzoka,2019-10-02T02:26:40Z,1h37m16s,14202
alanzoka,2019-10-01T18:12:14Z,8h13m7s,46005
alanzoka,2019-09-28T18:43:54Z,5h25m30s,84317
alanzoka,2019-09-27T18:28:46Z,6h50m34s,103729
alanzoka,2019-09-26T18:10:32Z,7h16m53s,128897
alanzoka,2019-09-25T18:17:25Z,7h22m45s,109647
alanzoka,2019-09-24T18:18:56Z,6h2m47s,80853
alanzoka,2019-09-22T18:07:10Z,4m33s,24439
